# SHADOW-EVAL-ONLY: simulation week — not real pipeline output
vin,label,tier,prob,priority,trigger,evidence_state,h2_fires,h2_consec_red,a2_fired_ever,persistence_terminal_active,sma_dead_badge,silence_trigger_active,watchlist_badge
VIN10_F_SM,1,RED,0.9964,P0,H2_dwell_fired,H2_dwell_fired,True,9,False,True,False,True,False
VIN10_NF_SM,0,AMBER,0.3579,P2,AMBER_tier,AMBER_tier,False,0,False,False,True,True,False
VIN11_F_SM,1,RED,0.9736,P0,H2_dwell_fired,H2_dwell_fired,True,7,False,True,False,True,False
VIN11_NF_SM,0,GREEN,0.1202,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN12_F_SM,1,RED,0.9579,P0,H2_dwell_fired,H2_dwell_fired,True,8,False,True,False,True,False
VIN12_NF_SM,0,GREEN,0.0898,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN13_F_SM,1,RED,0.6692,P0,H2_dwell_fired,H2_dwell_fired,True,4,True,True,False,True,False
VIN13_NF_SM,0,GREEN,0.1457,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN14_F_SM,1,RED,0.9958,P0,H2_dwell_fired,H2_dwell_fired,True,13,True,True,False,True,False
VIN14_NF_SM,0,GREEN,0.0091,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN15_NF_SM,0,GREEN,0.1126,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN16_NF_SM,0,GREEN,0.0239,GREEN_OK,GREEN_tier,GREEN_tier,False,2,False,False,False,False,False
VIN17_NF_SM,0,GREEN,0.1321,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN18_NF_SM,0,GREEN,0.1479,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN19_NF_SM,0,GREEN,0.1471,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN1_F_SM,1,GREEN,0.2628,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,False
VIN1_NF_SM,0,GREEN,0.0321,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN20_NF_SM,0,RED,0.5934,P1,RED_tier_no_channel_yet,RED_tier_no_channel_yet,False,2,False,False,True,True,False
VIN2_F_SM,1,RED,0.9138,P1,RED_tier_no_channel_yet,RED_tier_no_channel_yet,False,3,False,True,False,True,False
VIN2_NF_SM,0,AMBER,0.4485,P0,H2_dwell_fired,H2_dwell_fired,True,8,False,True,False,False,True
VIN3_F_SM,1,GREEN,0.3127,P0,H2_dwell_fired,H2_dwell_fired,True,8,True,True,False,False,False
VIN3_NF_SM,0,GREEN,0.0438,GREEN_OK,GREEN_tier,GREEN_tier,False,1,False,False,False,False,False
VIN4_F_SM,1,AMBER,0.3523,P2,AMBER_tier,AMBER_tier,False,0,False,True,False,True,False
VIN4_NF_SM,0,GREEN,0.1170,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN5_F_SM,1,RED,0.9936,P0,H2_dwell_fired,H2_dwell_fired,True,13,False,True,False,True,False
VIN5_NF_SM,0,RED,0.8856,P0,H2_dwell_fired,H2_dwell_fired,True,6,False,True,False,False,True
VIN6_F_SM,1,RED,0.9999,P0,H2_dwell_fired,H2_dwell_fired,True,13,True,True,False,True,False
VIN6_NF_SM,0,GREEN,0.0752,P0,H2_dwell_fired,H2_dwell_fired,True,4,False,False,False,False,False
VIN7_F_SM,1,RED,0.9106,P0,H2_dwell_fired,H2_dwell_fired,True,11,False,True,False,True,False
VIN7_NF_SM,0,GREEN,0.1432,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN8_F_SM,1,RED,0.6967,P0,H2_dwell_fired,H2_dwell_fired,True,5,False,True,True,True,False
VIN8_NF_SM,0,GREEN,0.0469,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN9_F_SM,1,GREEN,0.2607,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN9_NF_SM,0,GREEN,0.0320,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
