# SHADOW-EVAL-ONLY: simulation week — not real pipeline output
vin,label,tier,prob,priority,trigger,evidence_state,h2_fires,h2_consec_red,a2_fired_ever,persistence_terminal_active,sma_dead_badge,silence_trigger_active,watchlist_badge
VIN10_F_SM,1,RED,0.9966,P0,H2_dwell_fired,H2_dwell_fired,True,8,False,True,False,True,False
VIN10_NF_SM,0,AMBER,0.3967,P2,AMBER_tier,AMBER_tier,False,0,False,False,True,True,False
VIN11_F_SM,1,RED,0.6368,P0,H2_dwell_fired,H2_dwell_fired,True,6,False,True,False,True,False
VIN11_NF_SM,0,GREEN,0.1227,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN12_F_SM,1,RED,0.9676,P0,H2_dwell_fired,H2_dwell_fired,True,7,False,True,False,True,False
VIN12_NF_SM,0,GREEN,0.1037,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN13_F_SM,1,AMBER,0.4846,P0,H2_dwell_fired,H2_dwell_fired,True,3,True,True,False,True,False
VIN13_NF_SM,0,GREEN,0.1894,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN14_F_SM,1,RED,0.9956,P0,H2_dwell_fired,H2_dwell_fired,True,12,True,True,False,True,False
VIN14_NF_SM,0,GREEN,0.0170,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN15_NF_SM,0,GREEN,0.1569,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN16_NF_SM,0,GREEN,0.0296,GREEN_OK,GREEN_tier,GREEN_tier,False,2,False,False,False,False,False
VIN17_NF_SM,0,GREEN,0.1064,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN18_NF_SM,0,GREEN,0.1747,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN19_NF_SM,0,GREEN,0.1999,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN1_F_SM,1,GREEN,0.2617,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,False
VIN1_NF_SM,0,GREEN,0.0291,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN20_NF_SM,0,AMBER,0.4511,P2,AMBER_tier,AMBER_tier,False,1,False,False,True,True,False
VIN2_F_SM,1,RED,0.6676,P1,RED_tier_no_channel_yet,RED_tier_no_channel_yet,False,2,False,True,False,True,False
VIN2_NF_SM,0,GREEN,0.3191,P0,H2_dwell_fired,H2_dwell_fired,True,8,False,True,False,False,True
VIN3_F_SM,1,GREEN,0.3200,P0,H2_dwell_fired,H2_dwell_fired,True,8,True,True,False,False,False
VIN3_NF_SM,0,GREEN,0.0903,GREEN_OK,GREEN_tier,GREEN_tier,False,1,False,False,False,False,False
VIN4_F_SM,1,GREEN,0.3170,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,True,False
VIN4_NF_SM,0,GREEN,0.1496,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN5_F_SM,1,RED,0.9966,P0,H2_dwell_fired,H2_dwell_fired,True,12,False,True,False,True,False
VIN5_NF_SM,0,RED,0.9612,P0,H2_dwell_fired,H2_dwell_fired,True,5,False,True,False,False,True
VIN6_F_SM,1,RED,1.0000,P0,H2_dwell_fired,H2_dwell_fired,True,12,True,True,False,True,False
VIN6_NF_SM,0,GREEN,0.1106,P0,H2_dwell_fired,H2_dwell_fired,True,4,False,False,False,False,False
VIN7_F_SM,1,RED,0.8795,P0,H2_dwell_fired,H2_dwell_fired,True,10,False,True,False,True,False
VIN7_NF_SM,0,GREEN,0.1987,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN8_F_SM,1,AMBER,0.5435,P0,H2_dwell_fired,H2_dwell_fired,True,4,False,True,True,True,False
VIN8_NF_SM,0,GREEN,0.0812,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN9_F_SM,1,GREEN,0.2977,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN9_NF_SM,0,GREEN,0.0897,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
