# SHADOW-EVAL-ONLY: simulation week — not real pipeline output
vin,label,tier,prob,priority,trigger,evidence_state,h2_fires,h2_consec_red,a2_fired_ever,persistence_terminal_active,sma_dead_badge,silence_trigger_active,watchlist_badge
VIN10_F_SM,1,RED,0.9999,P0,H2_dwell_fired,H2_dwell_fired,True,7,False,True,False,True,False
VIN10_NF_SM,0,GREEN,0.3398,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,True,False
VIN11_F_SM,1,AMBER,0.4874,P0,H2_dwell_fired,H2_dwell_fired,True,5,False,True,False,True,False
VIN11_NF_SM,0,GREEN,0.1090,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN12_F_SM,1,RED,0.9351,P0,H2_dwell_fired,H2_dwell_fired,True,6,False,True,False,True,False
VIN12_NF_SM,0,GREEN,0.1176,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN13_F_SM,1,RED,0.6620,P0,H2_dwell_fired,H2_dwell_fired,True,3,True,True,False,True,False
VIN13_NF_SM,0,GREEN,0.2526,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN14_F_SM,1,RED,0.9934,P0,H2_dwell_fired,H2_dwell_fired,True,11,True,True,False,True,False
VIN14_NF_SM,0,GREEN,0.0187,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN15_NF_SM,0,GREEN,0.1507,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN16_NF_SM,0,GREEN,0.0319,GREEN_OK,GREEN_tier,GREEN_tier,False,2,False,False,False,False,False
VIN17_NF_SM,0,GREEN,0.1084,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN18_NF_SM,0,GREEN,0.2242,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN19_NF_SM,0,GREEN,0.1993,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN1_F_SM,1,GREEN,0.2199,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,False
VIN1_NF_SM,0,GREEN,0.0509,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN20_NF_SM,0,AMBER,0.4449,P2,AMBER_tier,AMBER_tier,False,1,False,False,True,True,False
VIN2_F_SM,1,AMBER,0.4923,P2,AMBER_tier,AMBER_tier,False,1,False,True,False,True,False
VIN2_NF_SM,0,GREEN,0.2798,P0,H2_dwell_fired,H2_dwell_fired,True,8,False,True,False,False,True
VIN3_F_SM,1,RED,0.8827,P0,H2_dwell_fired,H2_dwell_fired,True,8,True,True,False,False,False
VIN3_NF_SM,0,GREEN,0.1036,GREEN_OK,GREEN_tier,GREEN_tier,False,1,False,False,False,False,False
VIN4_F_SM,1,GREEN,0.2257,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,True,False
VIN4_NF_SM,0,GREEN,0.1524,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN5_F_SM,1,RED,0.9944,P0,H2_dwell_fired,H2_dwell_fired,True,11,False,True,False,True,False
VIN5_NF_SM,0,RED,0.9123,P0,H2_dwell_fired,H2_dwell_fired,True,4,False,True,False,False,True
VIN6_F_SM,1,RED,1.0000,P0,H2_dwell_fired,H2_dwell_fired,True,11,True,True,False,True,False
VIN6_NF_SM,0,GREEN,0.1777,P0,H2_dwell_fired,H2_dwell_fired,True,4,False,False,False,False,False
VIN7_F_SM,1,RED,0.8219,P0,H2_dwell_fired,H2_dwell_fired,True,9,False,True,False,True,False
VIN7_NF_SM,0,GREEN,0.1617,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN8_F_SM,1,GREEN,0.3064,P0,H2_dwell_fired,H2_dwell_fired,True,4,False,True,True,True,False
VIN8_NF_SM,0,GREEN,0.0744,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN9_F_SM,1,GREEN,0.2943,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN9_NF_SM,0,GREEN,0.1237,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
