# SHADOW-EVAL-ONLY: simulation week — not real pipeline output
vin,label,tier,prob,priority,trigger,evidence_state,h2_fires,h2_consec_red,a2_fired_ever,persistence_terminal_active,sma_dead_badge,silence_trigger_active,watchlist_badge
VIN10_F_SM,1,RED,0.9995,P1,RED_tier_no_channel_yet,RED_tier_no_channel_yet,False,4,False,True,False,True,False
VIN10_NF_SM,0,AMBER,0.4943,P2,AMBER_tier,AMBER_tier,False,0,False,False,True,True,False
VIN11_F_SM,1,RED,0.9047,P0,H2_dwell_fired,H2_dwell_fired,True,4,False,True,False,True,False
VIN11_NF_SM,0,GREEN,0.1466,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN12_F_SM,1,AMBER,0.5110,P2,AMBER_tier,AMBER_tier,False,3,False,True,False,True,False
VIN12_NF_SM,0,GREEN,0.1676,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN13_F_SM,1,AMBER,0.5225,P0,A2_battery_cascade_fired,A2_battery_cascade_fired,False,0,True,True,False,True,False
VIN13_NF_SM,0,GREEN,0.1894,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN14_F_SM,1,RED,0.9963,P0,H2_dwell_fired,H2_dwell_fired,True,8,True,True,False,True,False
VIN14_NF_SM,0,GREEN,0.0214,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN15_NF_SM,0,GREEN,0.1926,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN16_NF_SM,0,GREEN,0.0199,GREEN_OK,GREEN_tier,GREEN_tier,False,2,False,False,False,False,False
VIN17_NF_SM,0,GREEN,0.0496,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN18_NF_SM,0,GREEN,0.1836,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN19_NF_SM,0,GREEN,0.1676,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN1_F_SM,1,GREEN,0.1955,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,False
VIN1_NF_SM,0,GREEN,0.0427,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN20_NF_SM,0,AMBER,0.3595,P2,AMBER_tier,AMBER_tier,False,1,False,False,True,True,False
VIN2_F_SM,1,GREEN,0.2658,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,True,False
VIN2_NF_SM,0,RED,0.8395,P0,H2_dwell_fired,H2_dwell_fired,True,8,False,True,False,False,True
VIN3_F_SM,1,RED,0.8696,P0,H2_dwell_fired,H2_dwell_fired,True,5,True,True,False,False,False
VIN3_NF_SM,0,GREEN,0.1000,GREEN_OK,GREEN_tier,GREEN_tier,False,1,False,False,False,False,False
VIN4_F_SM,1,GREEN,0.2458,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,True,False
VIN4_NF_SM,0,GREEN,0.0941,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN5_F_SM,1,RED,0.9996,P0,H2_dwell_fired,H2_dwell_fired,True,8,False,True,False,True,False
VIN5_NF_SM,0,RED,0.5763,P1,RED_tier_no_channel_yet,RED_tier_no_channel_yet,False,1,False,True,False,False,True
VIN6_F_SM,1,RED,0.9988,P0,H2_dwell_fired,H2_dwell_fired,True,8,True,True,False,True,False
VIN6_NF_SM,0,GREEN,0.1419,P0,H2_dwell_fired,H2_dwell_fired,True,4,False,False,False,False,False
VIN7_F_SM,1,RED,0.9338,P0,H2_dwell_fired,H2_dwell_fired,True,6,False,True,False,True,False
VIN7_NF_SM,0,GREEN,0.3163,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN8_F_SM,1,AMBER,0.4904,P0,H2_dwell_fired,H2_dwell_fired,True,4,False,True,True,True,False
VIN8_NF_SM,0,GREEN,0.1223,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN9_F_SM,1,GREEN,0.2685,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN9_NF_SM,0,GREEN,0.1488,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
