# SHADOW-EVAL-ONLY: simulation week — not real pipeline output
vin,label,tier,prob,priority,trigger,evidence_state,h2_fires,h2_consec_red,a2_fired_ever,persistence_terminal_active,sma_dead_badge,silence_trigger_active,watchlist_badge
VIN10_F_SM,1,RED,0.5905,P1,RED_tier_no_channel_yet,RED_tier_no_channel_yet,False,2,False,True,False,True,False
VIN10_NF_SM,0,AMBER,0.4244,P2,AMBER_tier,AMBER_tier,False,0,False,False,True,True,False
VIN11_F_SM,1,AMBER,0.4529,P2,AMBER_tier,AMBER_tier,False,1,False,True,False,True,False
VIN11_NF_SM,0,GREEN,0.2125,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN12_F_SM,1,AMBER,0.5438,P2,AMBER_tier,AMBER_tier,False,2,False,True,False,True,False
VIN12_NF_SM,0,GREEN,0.2270,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN13_F_SM,1,GREEN,0.3161,P0,A2_battery_cascade_fired,A2_battery_cascade_fired,False,0,True,True,False,True,False
VIN13_NF_SM,0,GREEN,0.1856,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN14_F_SM,1,RED,0.9987,P0,H2_dwell_fired,H2_dwell_fired,True,5,True,True,False,True,False
VIN14_NF_SM,0,GREEN,0.0176,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN15_NF_SM,0,GREEN,0.2492,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN16_NF_SM,0,GREEN,0.0391,GREEN_OK,GREEN_tier,GREEN_tier,False,2,False,False,False,False,False
VIN17_NF_SM,0,GREEN,0.1391,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN18_NF_SM,0,GREEN,0.2219,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN19_NF_SM,0,GREEN,0.2498,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN1_F_SM,1,GREEN,0.1462,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,False
VIN1_NF_SM,0,GREEN,0.0292,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN20_NF_SM,0,GREEN,0.3346,GREEN_OK,GREEN_tier,GREEN_tier,False,1,False,False,True,True,False
VIN2_F_SM,1,AMBER,0.4666,P2,AMBER_tier,AMBER_tier,False,0,False,True,False,True,False
VIN2_NF_SM,0,RED,0.9823,P0,H2_dwell_fired,H2_dwell_fired,True,5,False,True,False,False,True
VIN3_F_SM,1,RED,0.7865,P0,A2_battery_cascade_fired,A2_battery_cascade_fired,False,2,True,True,False,False,False
VIN3_NF_SM,0,GREEN,0.2905,GREEN_OK,GREEN_tier,GREEN_tier,False,1,False,False,False,False,False
VIN4_F_SM,1,AMBER,0.3503,P2,AMBER_tier,AMBER_tier,False,0,False,True,False,True,False
VIN4_NF_SM,0,GREEN,0.0932,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN5_F_SM,1,RED,0.9996,P0,H2_dwell_fired,H2_dwell_fired,True,5,False,True,False,True,False
VIN5_NF_SM,0,AMBER,0.4991,P2,AMBER_tier,AMBER_tier,False,0,False,True,False,False,True
VIN6_F_SM,1,RED,0.9932,P0,H2_dwell_fired,H2_dwell_fired,True,5,True,True,False,True,False
VIN6_NF_SM,0,GREEN,0.2253,P0,H2_dwell_fired,H2_dwell_fired,True,4,False,False,False,False,False
VIN7_F_SM,1,RED,0.9860,P0,H2_dwell_fired,H2_dwell_fired,True,3,False,True,False,True,False
VIN7_NF_SM,0,AMBER,0.4124,P2,AMBER_tier,AMBER_tier,False,0,False,False,False,False,False
VIN8_F_SM,1,RED,0.5810,P0,H2_dwell_fired,H2_dwell_fired,True,3,False,True,True,True,False
VIN8_NF_SM,0,GREEN,0.1953,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN9_F_SM,1,GREEN,0.2369,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN9_NF_SM,0,GREEN,0.1896,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
