# SHADOW-EVAL-ONLY: simulation week — not real pipeline output
vin,label,tier,prob,priority,trigger,evidence_state,h2_fires,h2_consec_red,a2_fired_ever,persistence_terminal_active,sma_dead_badge,silence_trigger_active,watchlist_badge
VIN10_F_SM,1,AMBER,0.5250,P2,AMBER_tier,AMBER_tier,False,0,False,True,False,True,False
VIN10_NF_SM,0,GREEN,0.1660,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,True,False
VIN11_F_SM,1,AMBER,0.5002,P2,AMBER_tier,AMBER_tier,False,1,False,True,False,True,False
VIN11_NF_SM,0,GREEN,0.1630,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN12_F_SM,1,AMBER,0.4213,P2,AMBER_tier,AMBER_tier,False,1,False,True,False,True,False
VIN12_NF_SM,0,GREEN,0.2815,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN13_F_SM,1,GREEN,0.2832,P0,A2_battery_cascade_fired,A2_battery_cascade_fired,False,0,True,True,False,True,False
VIN13_NF_SM,0,GREEN,0.2376,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN14_F_SM,1,RED,0.9998,P0,H2_dwell_fired,H2_dwell_fired,True,3,True,True,False,True,False
VIN14_NF_SM,0,GREEN,0.0426,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN15_NF_SM,0,GREEN,0.2867,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN16_NF_SM,0,GREEN,0.0964,GREEN_OK,GREEN_tier,GREEN_tier,False,2,False,False,False,False,False
VIN17_NF_SM,0,GREEN,0.1482,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN18_NF_SM,0,GREEN,0.1828,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN19_NF_SM,0,AMBER,0.5004,P2,AMBER_tier,AMBER_tier,False,0,False,False,False,False,False
VIN1_F_SM,1,GREEN,0.2287,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,False
VIN1_NF_SM,0,GREEN,0.0765,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN20_NF_SM,0,RED,0.6012,P1,RED_tier_no_channel_yet,RED_tier_no_channel_yet,False,1,False,False,True,True,False
VIN2_F_SM,1,GREEN,0.2503,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,True,False
VIN2_NF_SM,0,RED,0.8975,P0,H2_dwell_fired,H2_dwell_fired,True,3,False,True,False,False,True
VIN3_F_SM,1,GREEN,0.3109,P0,A2_battery_cascade_fired,A2_battery_cascade_fired,False,0,True,True,False,False,False
VIN3_NF_SM,0,AMBER,0.4376,P2,AMBER_tier,AMBER_tier,False,1,False,False,False,False,False
VIN4_F_SM,1,AMBER,0.3505,P2,AMBER_tier,AMBER_tier,False,0,False,True,False,True,False
VIN4_NF_SM,0,GREEN,0.0920,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN5_F_SM,1,RED,1.0000,P0,H2_dwell_fired,H2_dwell_fired,True,3,False,True,False,True,False
VIN5_NF_SM,0,GREEN,0.2045,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN6_F_SM,1,RED,0.9270,P0,H2_dwell_fired,H2_dwell_fired,True,3,True,True,False,True,False
VIN6_NF_SM,0,RED,0.5874,P0,H2_dwell_fired,H2_dwell_fired,True,3,False,False,False,False,False
VIN7_F_SM,1,RED,0.8559,P1,RED_tier_no_channel_yet,RED_tier_no_channel_yet,False,1,False,True,False,True,False
VIN7_NF_SM,0,GREEN,0.2685,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN8_F_SM,1,RED,0.6296,P1,RED_tier_no_channel_yet,RED_tier_no_channel_yet,False,1,False,True,True,True,False
VIN8_NF_SM,0,GREEN,0.3414,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN9_F_SM,1,GREEN,0.2476,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN9_NF_SM,0,GREEN,0.3150,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
